INFO:Data loaded from: C:\Users\IdoYe\PycharmProjects\Research_Implementing\common\TMs_DB\ScaleFree30Nodes\ScaleFree30Nodes_tms_30X30_length_20000_gravity_sparsity_0.3
INFO:Architecture is: [1]
INFO:gamma is: 0
INFO:Creating Network Class
Network ScaleFree30Nodes has been created
INFO:********* Iteration 0 Starts, Agent is learning *********
Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1        |
|    ep_rew_mean     | -26.7    |
| time/              |          |
|    fps             | 26       |
|    iterations      | 1        |
|    time_elapsed    | 7        |
|    total_timesteps | 192      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1            |
|    ep_rew_mean          | -26.6        |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 2            |
|    time_elapsed         | 14           |
|    total_timesteps      | 384          |
| train/                  |              |
|    approx_kl            | 0.0014209719 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -122         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 356          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0178      |
|    std                  | 1            |
|    value_loss           | 712          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1            |
|    ep_rew_mean          | -26.2        |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 3            |
|    time_elapsed         | 21           |
|    total_timesteps      | 576          |
| train/                  |              |
|    approx_kl            | 0.0007088392 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -122         |
|    explained_variance   | 1.79e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 362          |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00903     |
|    std                  | 0.999        |
|    value_loss           | 724          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1            |
|    ep_rew_mean          | -26.3        |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 4            |
|    time_elapsed         | 29           |
|    total_timesteps      | 768          |
| train/                  |              |
|    approx_kl            | 0.0005168005 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -122         |
|    explained_variance   | -2.38e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 367          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00686     |
|    std                  | 0.999        |
|    value_loss           | 735          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -27           |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 5             |
|    time_elapsed         | 36            |
|    total_timesteps      | 960           |
| train/                  |               |
|    approx_kl            | 0.00049333676 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 377           |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.00731      |
|    std                  | 0.999         |
|    value_loss           | 755           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -27           |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 6             |
|    time_elapsed         | 43            |
|    total_timesteps      | 1152          |
| train/                  |               |
|    approx_kl            | 0.00038612075 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 382           |
|    n_updates            | 50            |
|    policy_gradient_loss | -0.00559      |
|    std                  | 0.999         |
|    value_loss           | 765           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -27.1         |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 7             |
|    time_elapsed         | 51            |
|    total_timesteps      | 1344          |
| train/                  |               |
|    approx_kl            | 0.00045140894 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 410           |
|    n_updates            | 60            |
|    policy_gradient_loss | -0.00731      |
|    std                  | 0.999         |
|    value_loss           | 820           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1            |
|    ep_rew_mean          | -27.3        |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 8            |
|    time_elapsed         | 58           |
|    total_timesteps      | 1536         |
| train/                  |              |
|    approx_kl            | 0.0004244965 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -122         |
|    explained_variance   | -1.19e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 380          |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00602     |
|    std                  | 0.999        |
|    value_loss           | 761          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -27.5         |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 9             |
|    time_elapsed         | 65            |
|    total_timesteps      | 1728          |
| train/                  |               |
|    approx_kl            | 0.00037964308 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | 1.19e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 374           |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.00608      |
|    std                  | 0.998         |
|    value_loss           | 748           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -25.6         |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 10            |
|    time_elapsed         | 73            |
|    total_timesteps      | 1920          |
| train/                  |               |
|    approx_kl            | 0.00044009215 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | -1.19e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 393           |
|    n_updates            | 90            |
|    policy_gradient_loss | -0.0075       |
|    std                  | 0.998         |
|    value_loss           | 786           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -27           |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 11            |
|    time_elapsed         | 80            |
|    total_timesteps      | 2112          |
| train/                  |               |
|    approx_kl            | 0.00041221362 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 365           |
|    n_updates            | 100           |
|    policy_gradient_loss | -0.00608      |
|    std                  | 0.998         |
|    value_loss           | 730           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1            |
|    ep_rew_mean          | -25.3        |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 12           |
|    time_elapsed         | 87           |
|    total_timesteps      | 2304         |
| train/                  |              |
|    approx_kl            | 0.0004907393 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -122         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 399          |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00707     |
|    std                  | 0.997        |
|    value_loss           | 798          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -26.5         |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 13            |
|    time_elapsed         | 94            |
|    total_timesteps      | 2496          |
| train/                  |               |
|    approx_kl            | 0.00059629045 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -122          |
|    explained_variance   | -2.38e-07     |
|    learning_rate        | 0.0003        |
|    loss                 | 345           |
|    n_updates            | 120           |
|    policy_gradient_loss | -0.00824      |
|    std                  | 0.997         |
|    value_loss           | 691           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1            |
|    ep_rew_mean          | -26.8        |
| time/                   |              |
|    fps                  | 26           |
|    iterations           | 14           |
|    time_elapsed         | 102          |
|    total_timesteps      | 2688         |
| train/                  |              |
|    approx_kl            | 0.0007972857 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -122         |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 384          |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.0107      |
|    std                  | 0.996        |
|    value_loss           | 768          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 1             |
|    ep_rew_mean          | -26.3         |
| time/                   |               |
|    fps                  | 26            |
|    iterations           | 15            |
|    time_elapsed         | 109           |
|    total_timesteps      | 2880          |
| train/                  |               |
|    approx_kl            | 0.00066748663 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
